AppBundle\Entity\Translations\RoleTranslation,,,
object,locale,field,content
@role87,en,description,"Description of image, embodied by an actor;"
@role88,en,title,Chicken
@role88,en,description,"Description of image, embodied by an actor;"
@role89,en,title,Magpie
@role89,en,description,"Description of image, embodied by an actor;"
@role90,en,title,Magpie
@role90,en,description,"Description of image, embodied by an actor;"
@role91,en,title,Stork
@role91,en,description,"Description of image, embodied by an actor;"
@role92,en,title,Daisy
@role92,en,description,"Description of image, embodied by an actor;"
@role93,en,title,Radish
@role93,en,description,"Description of image, embodied by an actor;"
@role94,en,title,The Ugly Duckling
@role94,en,description,"Description of image, embodied by an actor;"
