AppBundle\Entity\Employee,,,,,,,,
firstName,lastName,middleName,dob,position,avatar,biography,createdAt,updatedAt
Galyna,Kuruchenko,<firstName()>,<dateTime()>,accompanist,"<getMedia('avatars/galyna-kuruchenko.jpg', 'employee')>",Works in the theatre since 1997. Graduated from Cherkasy Music School n.a. Gulak-Artemowski.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Serhiy,Bobrov,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/serhiy-bobrov.jpg', 'employee')>",Honored Artist of Ukraine since 2009. Works in the theatre since 1996.  Graduated from Dnepropetrovsk State Theatre School in 1996.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nataliya,Vigran,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/nataliya-vigran.jpg', 'employee')>",Honored Artist of Ukraine since 2009. Works in the theatre since 1994.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Mariya,Maryshchak,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/mariya-maryshchak.jpg', 'employee')>",Works in the theatre since 2008. Graduated from Vinnytsia School of Culture and Arts.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Yuriy,Berlinskij,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/yuriy-berlinskij.jpg', 'employee')>",Peoples Artist of Ukraine since 2007. Works in the theatre since 1980. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary in 1980.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Svitlana,Amelina,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/svitlana-amelina.jpg', 'employee')>",Works in the theatre since 2008,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Anna,Bobrova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/anna-bobrova.jpg', 'employee')>",Works in the theatre since 2007. Graduated from Kaniv School of Culture and Arts in 2007.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Olena,Breharya,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/olena-brehara.jpg', 'employee')>",Works in the theatre since 2008,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Liliya,Byrlakova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/liliya-byrlakova.jpg', 'employee')>",Works in the theatre since 2003. Graduated from Rivne State Humanitarian University in 2004.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oksana,Vovkostril,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/oksana-vovkostril.jpg', 'employee')>",Works in the theatre since 2009,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksandr,Gelevera,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleksandr-gelevera.jpg', 'employee')>",Works in the theatre since 2009,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Mykola,Glazov,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/mykola-glazov.jpg', 'employee')>","Works in the theatre since 1977 till 1986, since 1996 till 2000, since 2002 till 2003 and since 2006. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Iryna,Glazova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/iryna-glazova.jpg', 'employee')>",Works in the theatre since 2000 till 2006 and since 2010. Graduated from Dnipropetrovsk State Regional Theatre and Art College,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nataliya,Glazova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/nataliya-glazova.jpg', 'employee')>",Works in the theatre since 1976. Graduated from Kaniv Cultural and Educational College,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Pavlo,Goncharov,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/pavlo-goncharov.jpg', 'employee')>",Works in the theatre since 2008. Graduated from Dnepropetrovsk State Regional Theatre and Art College in 1998.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Yuriy,Greben,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/yuriy-greben.jpg', 'employee')>",Works in the theatre since 1998. Graduated from Kaniv School of Culture in 1997.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Tetyana,Greben,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/tetyana-greben.jpg', 'employee')>",Works in the theatre since 1996. Graduated from Dnepropetrovsk State Theatre College in 1996.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksandr,Gymennuj,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleksandr-gymennuj.jpg', 'employee')>",Works in the theatre since 2008. Graduated from the Kyiv Mining and Transport College in 1996.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Yuliya,Donska- Gymenna,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/yuliya-gymenna.jpg', 'employee')>",Works in the theatre since 2008. Graduated from the Mykolayiv State Higher School of Culture in 2008.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Mykola,Zajnchkivskij,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/mykola-zajnchkivskij.jpg', 'employee')>",Honored Artist of Ukraine since 2010. Works in the theatre since 1986. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary in 1986.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Anzhelina,Ivanova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/anzhelina-ivanova.jpg', 'employee')>",Works in the theatre since 1996. Graduated from Dnepropetrovsk State Theatre School in 1996.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Valeriy,Kirichenko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/valeriy-kirichenko.jpg', 'employee')>",Works in the theatre since 2003,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksiy,Klimenko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleksiy-klimenko.jpg', 'employee')>",Works in the theatre since 2012. Graduated from Kharkov State University of Arts n.a. I.M. Kotlyarevskyy in 2012.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Serhiy,Kovalenko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/serhiy-kovalenko.jpg', 'employee')>",Works in the theatre since 2012. Graduated from Cherkasy National University n.a. Bohdan Khmelnytsky.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Viktoriya,Kovaleva,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/viktoriya-kovaleva.jpg', 'employee')>",Works in the theatre since 1989,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Viktor,Kolomiec,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/viktor-kolomiec.jpg', 'employee')>",Honored Artist of Ukraine. Works in the theatre since 1976. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary in 1976.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Mykhaylo,Kondratskij,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/mykhaylo-kondratskij.jpg', 'employee')>",Works in the theatre since 1988. Graduated from Kyiv National University of Culture and Arts in 2002.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nadiya,Korbut,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/nadiya-korbut.jpg', 'employee')>",Works in the theatre since 2005. Graduated from Uzhgorod School of Culture in 2002.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Tetyana,Krizhanivska,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/tetyana-krizhanivska.jpg', 'employee')>",Honored Artist of Ukraine. Works in the theatre since 1979. Graduated from the State Institute of Theatrical Arts n.a. Lunacharsky in 1984.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksandr,Kuzmenko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleksandr-kuzmenko.jpg', 'employee')>",Works in the theatre since 1997. Graduated from Dnepropetrovsk State Theatre School in 1997.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksandr,Kyzmun,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleksandr-kyzmun.jpg', 'employee')>",Honored Artist of Ukraine - 2009; Works in the theatre since 2008. Graduated from the Kharkov Institute of Arts n.a. Kotlyarevskyi,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Anna,Kyrulenko,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/anna-kyrulenko.jpg', 'employee')>","Works in the theatre since 2011. Graduated from the Cherkasy Music School n.a. Gulak - Artemowski in 2008. Continues her studies at the Kyiv National University of Theatre, Film and Television n.a. Karpenko – Kary","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nataliya,Mamalyga,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/nataliya-mamalyga.jpg', 'employee')>",Honored Artist of Ukraine since 2009. Works in the theatre since 1994. Graduated from the Kiev State Conservatoire n.a. Tchaikovsky in 1992.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Iryna,Maslova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/iryna-maslova.jpg', 'employee')>",Works in the theatre since 1998,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Svitlana,Moskalenko,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/svitlana-moskalenko.jpg', 'employee')>",Honored Artist of Ukraine. Works in the theatre since 2012. Graduated from the Drama Studio at the Franko Theater in 1975.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nataliya,Panekina,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/nataliya-panekina.jpg', 'employee')>",Works in the theatre since 2012. Graduated from Kharkov State University of Arts n.a. I.M. Kotlyarevskyy in 2011,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Nataliya,Naumenko,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/nataliya-naumenko.jpg', 'employee')>",Works in the theatre since 2002,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Serhiy,Ponomarenko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/serhiy-ponomarenko.jpg', 'employee')>",Works in the theatre since 2003,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Olena,Ponomarenko,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/olena-ponomarenko.jpg', 'employee')>",Works in the theatre since 2003,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Lidiya,Popova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/lidiya-popova.jpg', 'employee')>",Honored Artist of Ukraine since 1978. Works in the theatre since 1973. Graduated from Dnipropetrovsk State Theatre School in 1962.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Dmytro,Potapchyk,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/dmytro-potapchyk.jpg', 'employee')>",Works in the theatre since 2010. Graduated from Rivne State Humanitarian University,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksandr,Pryz,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleksandr-pruz.jpg', 'employee')>",Works in the theatre since 2005,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Yuriy,Prokopchuk,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/yuriy-prokopchuk.jpg', 'employee')>",Works in the theatre since 1998 . Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleksandr,Pjatkivskij,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleksandr-pjatkivskij.jpg', 'employee')>",Works in the theatre since 1977,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Olha,Romodan,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/olha-romodan.jpg', 'employee')>",Works in the theatre since 1990,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Lyubov,Skobel,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/lyubov-skobel.jpg', 'employee')>",Honored Artist of Ukraine since 2006. Works in the theatre since 1977. Graduated from the Drama Studio at the Franko Theater in 1977.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Evhen,Skrupnichenko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/evhen-skrupnichenko.jpg', 'employee')>",Works in the theatre since 2008,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Lydmyla,Talah,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/lydmyla-talah.jpg', 'employee')>",Honored Artist of Ukraine. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary in 1967. Works in the theatre since 1967,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Oleh,Telatnik,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/oleh-telatnik.jpg', 'employee')>",Works in the theatre since 2005 року. Graduated from the Kharkov State Institute of Culture in 1995.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Svitlana,Tereshchenko,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/svitlana-tereshchenko.jpg', 'employee')>",Works in the theatre since 2009. Graduated from the Kyiv State Institute of Theatrical Arts n.a. Karpenko-Kary,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Liliya,Kharchenko,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/liliya-harchenko.jpg', 'employee')>",Works in the theatre since 1998,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Kostyantyn,Shaenko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/kostyantyn-shaenko.jpg', 'employee')>",Works in the theatre since 2003,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Kateryna,Shakalova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/kateryna-shakalova.jpg', 'employee')>",Works in the theatre since 2003. Graduated from Dnepropetrovsk Theatre and Art College.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Petro,Golybchehko,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/petro-golybchenko.jpg', 'employee')>",Works in the theatre since 2014\,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Kateryna,Olejnikova,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/kateryna-olejnikova.jpg', 'employee')>",Works in the theatre since 2014,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Olena,Peredriy,<firstName()>,<dateTime()>,actress,"<getMedia('avatars/olena-peredriy.jpg', 'employee')>",Works in the theatre since 2014,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Maksym,Ruzhevol,<firstName()>,<dateTime()>,actor,"<getMedia('avatars/maksym-ruzhevol.jpg', 'employee')>",Works in the theatre since 2014,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
